date,number_of_orders
2022-04-17,5
2022-04-17,5
2022-04-18,7
2022-04-18,7
2022-04-18,7
2022-04-18,7
2022-04-18,7
2022-04-18,7
2022-04-18,7
2022-04-19,6
2022-04-19,6
2022-04-19,6
2022-04-19,6
2022-04-19,6
2022-04-19,6
2022-04-20,1
2022-04-21,2
2022-04-21,2
2022-04-22,5
2022-04-22,5
2022-04-22,5
2022-04-22,5
2022-04-22,5
2022-04-23,7
2022-04-23,7
2022-04-23,7
2022-04-23,7
2022-04-23,7
2022-04-23,7
2022-04-23,7
2022-04-24,4
2022-04-24,4
2022-04-24,4
2022-04-24,4
2022-04-25,1
2022-04-26,6
2022-04-26,6
2022-04-26,6
2022-04-26,6
2022-04-26,6
2022-04-26,6
2022-04-27,6
2022-04-27,6
2022-04-27,6
2022-04-27,6
2022-04-27,6
2022-04-27,6
2022-04-28,2
2022-04-28,2
2022-04-29,8
2022-04-29,8
2022-04-29,8
2022-04-29,8
2022-04-29,8
2022-04-29,8
2022-04-29,8
2022-04-29,8
2022-04-30,2
2022-04-30,2
2022-05-01,7
2022-05-01,7
2022-05-01,7
2022-05-01,7
2022-05-01,7
2022-05-01,7
2022-05-01,7
2022-05-02,2
2022-05-02,2
2022-05-03,2
2022-05-03,2
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-04,13
2022-05-05,1
2022-05-06,2
2022-05-06,2
2022-05-07,4
2022-05-07,4
2022-05-07,4
2022-05-07,4
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-08,9
2022-05-09,6
2022-05-09,6
2022-05-09,6
2022-05-09,6
2022-05-09,6
2022-05-09,6
2022-05-10,2
2022-05-10,2
2022-05-11,6
2022-05-11,6
2022-05-11,6
2022-05-11,6
2022-05-11,6
2022-05-11,6
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-12,13
2022-05-13,1
2022-05-14,1
2022-05-15,1
2022-05-16,2
2022-05-16,2
2022-05-17,1
2022-05-18,4
2022-05-18,4
2022-05-18,4
2022-05-18,4
2022-05-19,4
2022-05-19,4
2022-05-19,4
2022-05-19,4
2022-05-20,1
2022-05-21,4
2022-05-21,4
2022-05-21,4
2022-05-21,4
2022-05-22,5
2022-05-22,5
2022-05-22,5
2022-05-22,5
2022-05-22,5
2022-05-23,1
2022-05-24,2
2022-05-24,2
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-25,9
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-26,15
2022-05-27,7
2022-05-27,7
2022-05-27,7
2022-05-27,7
2022-05-27,7
2022-05-27,7
2022-05-27,7
2022-05-28,8
2022-05-28,8
2022-05-28,8
2022-05-28,8
2022-05-28,8
2022-05-28,8
2022-05-28,8
2022-05-28,8
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-29,13
2022-05-30,3
2022-05-30,3
2022-05-30,3
2022-05-31,3
2022-05-31,3
2022-05-31,3
2022-06-02,1
2022-06-03,1
2022-06-04,1
2022-06-05,1
2022-06-06,1
2022-06-07,1
2022-06-08,1
2022-06-09,1
2022-06-10,1
2022-06-11,1
2022-06-12,1
2022-06-13,1
2022-06-14,1
2022-06-15,1
2022-06-16,1
2022-06-17,1
2022-06-18,2
2022-06-18,2
2022-06-19,2
2022-06-19,2
2022-06-20,1
2022-06-21,1
2022-06-22,1
2022-06-23,1
2022-06-24,3
2022-06-24,3
2022-06-24,3
2022-06-25,2
2022-06-25,2
2022-06-26,1
2022-06-27,2
2022-06-27,2
2022-06-28,3
2022-06-28,3
2022-06-28,3
2022-06-29,2
2022-06-29,2
2022-06-30,3
2022-06-30,3
2022-06-30,3
2022-07-01,4
2022-07-01,4
2022-07-01,4
2022-07-01,4
2022-07-02,2
2022-07-02,2
2022-07-03,3
2022-07-03,3
2022-07-03,3
2022-07-04,5
2022-07-04,5
2022-07-04,5
2022-07-04,5
2022-07-04,5
2022-07-05,6
2022-07-05,6
2022-07-05,6
2022-07-05,6
2022-07-05,6
2022-07-05,6
2022-07-06,5
2022-07-06,5
2022-07-06,5
2022-07-06,5
2022-07-06,5
2022-07-07,1
2022-07-08,1
2022-07-09,2
2022-07-09,2
2022-07-10,2
2022-07-10,2
2022-07-11,1
2022-07-12,4
2022-07-12,4
2022-07-12,4
2022-07-12,4
2022-07-13,1
2022-07-14,1
2022-07-15,2
2022-07-15,2
2022-07-16,1
2022-07-17,2
2022-07-17,2
2022-07-18,7
2022-07-18,7
2022-07-18,7
2022-07-18,7
2022-07-18,7
2022-07-18,7
2022-07-18,7
2022-07-19,5
2022-07-19,5
2022-07-19,5
2022-07-19,5
2022-07-19,5
2022-07-20,3
2022-07-20,3
2022-07-20,3
2022-07-21,1
2022-07-22,1
2022-07-23,1
2022-07-24,2
2022-07-24,2
2022-07-25,3
2022-07-25,3
2022-07-25,3
2022-07-26,4
2022-07-26,4
2022-07-26,4
2022-07-26,4
2022-07-27,2
2022-07-27,2
2022-07-28,5
2022-07-28,5
2022-07-28,5
2022-07-28,5
2022-07-28,5
2022-07-29,3
2022-07-29,3
2022-07-29,3
2022-07-30,8
2022-07-30,8
2022-07-30,8
2022-07-30,8
2022-07-30,8
2022-07-30,8
2022-07-30,8
2022-07-30,8
2022-07-31,5
2022-07-31,5
2022-07-31,5
2022-07-31,5
2022-07-31,5
2022-08-01,3
2022-08-01,3
2022-08-01,3
2022-08-02,2
2022-08-02,2
2022-08-03,6
2022-08-03,6
2022-08-03,6
2022-08-03,6
2022-08-03,6
2022-08-03,6
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-04,9
2022-08-05,6
2022-08-05,6
2022-08-05,6
2022-08-05,6
2022-08-05,6
2022-08-05,6
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-06,10
2022-08-07,8
2022-08-07,8
2022-08-07,8
2022-08-07,8
2022-08-07,8
2022-08-07,8
2022-08-07,8
2022-08-07,8
2022-08-08,4
2022-08-08,4
2022-08-08,4
2022-08-08,4
2022-08-09,1
2022-08-10,4
2022-08-10,4
2022-08-10,4
2022-08-10,4
2022-08-11,5
2022-08-11,5
2022-08-11,5
2022-08-11,5
2022-08-11,5
2022-08-12,2
2022-08-12,2
2022-08-13,5
2022-08-13,5
2022-08-13,5
2022-08-13,5
2022-08-13,5
2022-08-14,5
2022-08-14,5
2022-08-14,5
2022-08-14,5
2022-08-14,5
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-15,10
2022-08-16,7
2022-08-16,7
2022-08-16,7
2022-08-16,7
2022-08-16,7
2022-08-16,7
2022-08-16,7
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-17,10
2022-08-18,7
2022-08-18,7
2022-08-18,7
2022-08-18,7
2022-08-18,7
2022-08-18,7
2022-08-18,7
2022-08-19,8
2022-08-19,8
2022-08-19,8
2022-08-19,8
2022-08-19,8
2022-08-19,8
2022-08-19,8
2022-08-19,8
2022-08-20,8
2022-08-20,8
2022-08-20,8
2022-08-20,8
2022-08-20,8
2022-08-20,8
2022-08-20,8
2022-08-20,8
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-21,20
2022-08-22,5
2022-08-22,5
2022-08-22,5
2022-08-22,5
2022-08-22,5
2022-08-23,2
2022-08-23,2
2022-08-24,7
2022-08-24,7
2022-08-24,7
2022-08-24,7
2022-08-24,7
2022-08-24,7
2022-08-24,7
2022-08-25,6
2022-08-25,6
2022-08-25,6
2022-08-25,6
2022-08-25,6
2022-08-25,6
2022-08-26,5
2022-08-26,5
2022-08-26,5
2022-08-26,5
2022-08-26,5
2022-08-27,2
2022-08-27,2
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-28,22
2022-08-29,2
2022-08-29,2
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-30,11
2022-08-31,7
2022-08-31,7
2022-08-31,7
2022-08-31,7
2022-08-31,7
2022-08-31,7
2022-08-31,7
2022-09-10,2
2022-09-10,2
2022-09-11,1
2022-09-13,2
2022-09-13,2
2022-09-15,5
2022-09-15,5
2022-09-15,5
2022-09-15,5
2022-09-15,5
2022-09-16,7
2022-09-16,7
2022-09-16,7
2022-09-16,7
2022-09-16,7
2022-09-16,7
2022-09-16,7
2022-09-17,6
2022-09-17,6
2022-09-17,6
2022-09-17,6
2022-09-17,6
2022-09-17,6
2022-09-20,3
2022-09-20,3
2022-09-20,3
2022-09-23,5
2022-09-23,5
2022-09-23,5
2022-09-23,5
2022-09-23,5
2022-09-24,1
2022-09-25,4
2022-09-25,4
2022-09-25,4
2022-09-25,4
2022-09-26,3
2022-09-26,3
2022-09-26,3
2022-09-27,1
2022-09-28,2
2022-09-28,2
2022-09-30,2
2022-09-30,2
2022-10-01,5
2022-10-01,5
2022-10-01,5
2022-10-01,5
2022-10-01,5
2022-10-02,2
2022-10-02,2
2022-10-03,3
2022-10-03,3
2022-10-03,3
2022-10-04,6
2022-10-04,6
2022-10-04,6
2022-10-04,6
2022-10-04,6
2022-10-04,6
2022-10-05,2
2022-10-05,2
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-07,12
2022-10-08,2
2022-10-08,2
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-09,10
2022-10-10,3
2022-10-10,3
2022-10-10,3
2022-10-11,2
2022-10-11,2
2022-10-12,2
2022-10-12,2
2022-10-13,1
2022-10-15,1
2022-10-16,8
2022-10-16,8
2022-10-16,8
2022-10-16,8
2022-10-16,8
2022-10-16,8
2022-10-16,8
2022-10-16,8
2022-10-17,5
2022-10-17,5
2022-10-17,5
2022-10-17,5
2022-10-17,5
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-18,20
2022-10-19,1
2022-10-20,1
2022-10-21,6
2022-10-21,6
2022-10-21,6
2022-10-21,6
2022-10-21,6
2022-10-21,6
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-22,14
2022-10-23,3
2022-10-23,3
2022-10-23,3
2022-10-24,1
2022-10-25,5
2022-10-25,5
2022-10-25,5
2022-10-25,5
2022-10-25,5
2022-10-26,3
2022-10-26,3
2022-10-26,3
2022-10-27,2
2022-10-27,2
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-30,24
2022-10-31,8
2022-10-31,8
2022-10-31,8
2022-10-31,8
2022-10-31,8
2022-10-31,8
2022-10-31,8
2022-10-31,8
2022-11-01,7
2022-11-01,7
2022-11-01,7
2022-11-01,7
2022-11-01,7
2022-11-01,7
2022-11-01,7
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-02,9
2022-11-03,2
2022-11-03,2
2022-11-04,5
2022-11-04,5
2022-11-04,5
2022-11-04,5
2022-11-04,5
2022-11-05,6
2022-11-05,6
2022-11-05,6
2022-11-05,6
2022-11-05,6
2022-11-05,6
2022-11-06,4
2022-11-06,4
2022-11-06,4
2022-11-06,4
2022-11-07,6
2022-11-07,6
2022-11-07,6
2022-11-07,6
2022-11-07,6
2022-11-07,6
2022-11-08,5
2022-11-08,5
2022-11-08,5
2022-11-08,5
2022-11-08,5
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-09,30
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-10,12
2022-11-11,1
2022-11-12,2
2022-11-12,2
2022-11-13,1
2022-11-14,4
2022-11-14,4
2022-11-14,4
2022-11-14,4
2022-11-15,3
2022-11-15,3
2022-11-15,3
2022-11-16,4
2022-11-16,4
2022-11-16,4
2022-11-16,4
2022-11-17,6
2022-11-17,6
2022-11-17,6
2022-11-17,6
2022-11-17,6
2022-11-17,6
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-18,19
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-19,12
2022-11-20,6
2022-11-20,6
2022-11-20,6
2022-11-20,6
2022-11-20,6
2022-11-20,6
2022-11-21,3
2022-11-21,3
2022-11-21,3
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-22,18
2022-11-23,3
2022-11-23,3
2022-11-23,3
2022-11-24,1
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-25,16
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-26,13
2022-11-27,8
2022-11-27,8
2022-11-27,8
2022-11-27,8
2022-11-27,8
2022-11-27,8
2022-11-27,8
2022-11-27,8
2022-11-28,8
2022-11-28,8
2022-11-28,8
2022-11-28,8
2022-11-28,8
2022-11-28,8
2022-11-28,8
2022-11-28,8
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-29,12
2022-11-30,3
2022-11-30,3
2022-11-30,3
2022-12-01,1
2022-12-02,3
2022-12-02,3
2022-12-02,3
2022-12-03,1
2022-12-04,3
2022-12-04,3
2022-12-04,3
2022-12-05,1
2022-12-06,1
2022-12-07,8
2022-12-07,8
2022-12-07,8
2022-12-07,8
2022-12-07,8
2022-12-07,8
2022-12-07,8
2022-12-07,8
2022-12-08,4
2022-12-08,4
2022-12-08,4
2022-12-08,4
2022-12-09,2
2022-12-09,2
2022-12-10,5
2022-12-10,5
2022-12-10,5
2022-12-10,5
2022-12-10,5
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-11,13
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-12,10
2022-12-13,1
2022-12-14,6
2022-12-14,6
2022-12-14,6
2022-12-14,6
2022-12-14,6
2022-12-14,6
